27195,CREME DE CEBOLA QUALIMAX 1.01KG,13.617,0
27191,MIST.P/PAO DE QUEIJO QUALIMAX 1KG,6.329114,0
27199,MOLHO BECHAMEL QUALIMAX 400G,6.2943,0
27198,MOLHO DEMI GLACE QUALIMAX 400G,10.86,0
27197,MOLHO 4 QUEIJOS QUALIMAX 400G,10.6799,0
27200,PURE DE BATATA COMPLETO QUALIMAX 800G,13.573667,0
7433,FORMA BWB BOLO DETALHADO GRANDE  ESP.1UN,4.74,4.625635
7436,FORMA BWB CUPCAKE ESP.1UN,4.74,4.670405
13832,FORMA BWB SIMP.FOLHA 1UN,0.605,0.494727
13835,FORMA BWB SIMP.PANELA 1UN,0.605,0.46746
13825,FORMA BWB SIMP.ROSA PIRULITO 1UN,0.605,0.526576
14070,FORMA BWB TRAD.ESP.MINI PAO MEL COR.1UN,4.74,5.0244
14076,FORMA BWB TRAD.ESP.PORTA JOIA COR.DEC1UN,4.74,5.0244
7434,FORMA ESP.BWB BOLO DETALHADO PEQ.1UN,4.74,4.749509
24582,FORMA ESP.BWB SP 1018 TRUFA HELICE 1UN,5.7,6.042
24579,FORMA ESP.BWB SP 1078 BOLO BOMBOM PQ.1UN,5.7,6.042
24586,FORMA ESP.TRAD.BWB ABACAXI 1UN,4.74,5.0244
22823,FORMA ESP.TRAD.BWB ALPINO 1UN,4.74,5.0244
22822,FORMA ESP.TRAD.BWB CONCHINHA 1UN,4.74,5.0244
25605,FORMA ESP.TRAD.BWB CONE MEDIO 1UN,4.74,5.0244
13266,FORMA ESP.TRAD.BWB COPO MOUSSE 3 1UN,4.74,4.749509
17456,FORMA ESP.TRAD.BWB ESFERA C/FURO 1UN,4.74,5.068998
27158,FORMA ESP.TRAD.BWB JOYSTICK 1UN,4.74,5.0244
27159,FORMA ESP.TRAD.BWB MINI BOCA 1UN,4.74,5.0244
27160,FORMA ESP.TRAD.BWB MINI TRUFA FOLHA 1UN,4.74,5.0244
16882,FORMA ESP.TRAD.BWB PAO DE MEL 1UN,2.89,3.338423
22816,FORMA ESP.TRAD.BWB SP 813 MINI TRUFA 1UN,5.7,6.042
7430,FORMA ESP.TRAD.BWB TRUFA PEQUENA 1UN,2.89,3.541835
13856,FORMA SIMP.BWB BOTOES 1UN,0.605,0.558249
24588,FORMA SIMP.TRAD.BWB ALIANCAS 1UN,0.605,0.6413
16874,FORMA SIMP.TRAD.BWB ALPINO 1UN,0.605,0.6413
20523,FORMA SIMP.TRAD.BWB ANIMAIS AFRICA 1UN,0.605,0.521601
25607,FORMA SIMP.TRAD.BWB APLIQUE FLORES 1UN,0.605,0.6413
16881,FORMA SIMP.TRAD.BWB BB.RT.MD.BLISTER 1UN,0.605,0.6413
7447,FORMA SIMP.TRAD.BWB BOMB.MAMADEIRA 1UN,0.605,0.566071
27161,FORMA SIMP.TRAD.BWB BOMBOM DETALHA.2 1UN,0.605,0.6413
20549,FORMA SIMP.TRAD.BWB BOMBOM DETALH.13 1UN,0.605,0.597786
17473,FORMA SIMP.TRAD.BWB BOMBOM LISO GDE.1UN,0.605,0.6413
